Group,Itemtype,ItemNum,Condition,Context,Feature,Time,Extended,Prime,Target,LDT,Comments,Item
1,filler,F1,filler,other,nonword,400,extended,lullaby,slike,no,,Mary loved maths but this year the teacher was very boring. He hummed every formula and theorem. Every lesson was a lullaby.
1,filler,F2,filler,other,nonword,400,single,sapling,mabs,no,,"When he was a kid, John wasn’t allowed to do many things on his own. His mother raised him carefully. She used to tell him that he was only a sapling."
1,filler,F3,filler,other,nonword,1000,extended,slippers,alipol,no,,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well. John was a pair of old slippers."
1,filler,F4,filler,other,nonword,1000,single,chair,rall,no,,"John knew many people, but there were only a few friends he could lean on. When he was with them, he felt he could relax and chill. A good friend is a comfy chair."
1,filler,F5,filler,other,nonword,400,extended,dalmatian,coustly,no,,"John was making a chocolate milkshake when the lid came off the blender. When his mother saw him, he had already spotted himself with cocoa. She said John was a Dalmatian."
1,filler,F6,filler,other,nonword,400,single,Pacific,bool,no,,"John and Mary have a new house with an amazing garden. Actually, one cannot see the end of it from the back door. They need to hike across it to fetch their carrots. Their garden is the Pacific."
1,filler,F7,filler,other,nonword,1000,extended,champagne,fimp,no,,John loved paddling his canoe through the steep canyon. He especially enjoyed rolling over in the white water of the rapids. The river poured down cascading in bubbles. It was champagne.
1,filler,F8,filler,other,nonword,1000,single,rugby,strosh,no,,"Things weren’t going well for Mary. The fact that her boyfriend had broken up with her the same week she had lost her job really depressed her. Sometimes, life can be a game of rugby."
1,critical,I1,a,matching,relevant,400,extended,cactus,spike,yes,,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her. John is a cactus.
1,critical,I2,b,matching,irrelevant,400,single,lion,animal,yes,,"After six months without going to the barber, John’s beard had grown to an incredible length. He could even brag mightily. John was a lion."
1,critical,I3,c,matching,relevant,1000,extended,skyscrapers,tall,yes,,On the dunes someone had planted a few pine trees among the local plants. They towered over everything else. The pine trees were skyscrapers.
1,control,I5,e,unmmatching,relevant,400,extended,cheetah,small,yes,,Nobody wanted to run against John at school. He chased and hunted the finish line ferociously. John was a cheetah.
1,control,I6,f,unmmatching,irrelevant,400,single,minnow,cat,yes,,"When playing basketball in the college team, John could run under the arms of his teammates. John was a minnow."
1,control,I7,g,unmmatching,relevant,1000,extended,encyclopaedia,cold,yes,,"Even though she had never been to school, Mary could flip through the pages in her mind. She was an Encyclopaedia."
1,control,I8,h,unmmatching,irrelevant,1000,single,Norway,book,yes,,"Mary didn’t like spending the nights at her grandmother’s. No matter how many blankets she would put on the bed, she was uncomfortable in those low temperatures. That attic room was Norway."
1,critical,I4,d,matching,irrelevant,1000,single,steel,metal,yes,,John spends four hours a day in the gym. He trains his body intensively. His muscles are steel.
2,filler,F1,filler,other,nonword,400,extended,lullaby,slike,no,,Mary loved maths but this year the teacher was very boring. He hummed every formula and theorem. Every lesson was a lullaby.
2,filler,F2,filler,other,nonword,1000,single,sapling,mabs,no,,"When he was a kid, John wasn’t allowed to do many things on his own. His mother raised him carefully. She used to tell him that he was only a sapling."
2,filler,F3,filler,other,nonword,1000,extended,slippers,alipol,no,,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well. John was a pair of old slippers."
2,filler,F4,filler,other,nonword,400,single,chair,rall,no,,"John knew many people, but there were only a few friends he could lean on. When he was with them, he felt he could relax and chill. A good friend is a comfy chair."
2,filler,F5,filler,other,nonword,400,extended,dalmatian,coustly,no,,"John was making a chocolate milkshake when the lid came off the blender. When his mother saw him, he had already spotted himself with cocoa. She said John was a Dalmatian."
2,filler,F6,filler,other,nonword,1000,single,Pacific,bool,no,,"John and Mary have a new house with an amazing garden. Actually, one cannot see the end of it from the back door. They need to hike across it to fetch their carrots. Their garden is the Pacific."
2,filler,F7,filler,other,nonword,1000,extended,champagne,fimp,no,,John loved paddling his canoe through the steep canyon. He especially enjoyed rolling over in the white water of the rapids. The river poured down cascading in bubbles. It was champagne.
2,filler,F8,filler,other,nonword,400,single,rugby,strosh,no,,"Things weren’t going well for Mary. The fact that her boyfriend had broken up with her the same week she had lost her job really depressed her. Sometimes, life can be a game of rugby."
2,critical,I1,b,matching,irrelevant,400,extended,cactus,plant,yes,,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her. John is a cactus.
2,critical,I2,c,matching,relevant,1000,single,lion,mane,yes,,"After six months without going to the barber, John’s beard had grown to an incredible length. He could even brag mightily. John was a lion."
2,critical,I3,d,matching,irrelevant,1000,extended,skyscrapers,building,yes,,On the dunes someone had planted a few pine trees among the local plants. They towered over everything else. The pine trees were skyscrapers.
2,control,I5,f,unmmatching,irrelevant,400,extended,cheetah,fish,yes,,Nobody wanted to run against John at school. He chased and hunted the finish line ferociously. John was a cheetah.
2,control,I6,g,unmmatching,relevant,1000,single,minnow,fast,yes,,"When playing basketball in the college team, John could run under the arms of his teammates. John was a minnow."
2,control,I7,h,unmmatching,irrelevant,1000,extended,encyclopaedia,country,yes,,"Even though she had never been to school, Mary could flip through the pages in her mind. She was an Encyclopaedia."
2,critical,I8,a,matching,relevant,400,single,Norway,cold,yes,,"Mary didn’t like spending the nights at her grandmother’s. No matter how many blankets she would put on the bed, she was uncomfortable in those low temperatures. That attic room was Norway."
